model_id,alpha,window_size,stat_size,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_33,0.001,50,30,50,2000,229,180554.47598253275,5.681222707423581,90.3056768558952,0.21020812973520162,0.16301196841337642,0.47848166041905216,0.37527094938162125,0.46914548583248816,0.9452010154842161,0.0662368259384344,0.13210939266955182,4.457633187772917,6.47054061135371,6.464839647298649,-6.26807689454481,-14.359815062888192,-3.6981903431242107,5.179039301310044,84.37117903930131,0.5021834061135371,3.9566754002911217
model_34,0.001,50,30,50,3000,229,180554.47598253275,5.681222707423581,60.47598253275109,0.2175823327765317,0.14418712470826558,0.4386768719596358,0.29243515255806124,0.31592961402555547,0.7422711507318495,0.06652828818704969,0.14609066752952654,5.37206222222222,7.217252444444444,4.358570929803993,-5.445065910306347,-10.856364728470036,-5.084394667163368,3.938864628820961,56.53711790393013,1.74235807860262,2.589935953420669
model_35,0.001,50,30,50,5000,229,180554.47598253275,5.681222707423581,36.493449781659386,0.18721583066515576,0.12468917507766063,0.31217671105459877,0.20825926527565777,0.18516760981120087,0.44090466858255195,0.06147850606939322,0.14242106475627114,5.202603015075379,6.532130653266333,2.660852077023855,-5.490203420187057,-8.73207791991172,-7.528654816612936,2.3842794759825328,34.109170305676855,3.296943231441048,1.5611906841339158
model_36,0.001,50,30,100,500,229,180554.47598253275,5.681222707423581,355.7816593886463,0.08582247284349784,0.08582247284349784,0.26300328737204787,0.26300328737204787,0.9989362893293023,0.9989362893293023,0.03876525696263158,0.04812512198682159,1.0244890829694289,1.505438427947602,25.16877798372308,-28.386280493660355,-60.232756880290005,-13.297103435716704,5.672489082969432,332.414847161572,0.008733624454148471,5.672489082969432
model_37,0.001,50,30,100,1000,229,180554.47598253275,5.681222707423581,179.33187772925766,0.14227343575929988,0.14131274511291309,0.37765254105363355,0.3757106923338754,0.95680188179546,0.9935710819990295,0.06743544189325777,0.083918871730563,2.101056768558955,3.0889336244541483,12.735501019748035,-13.152436616086751,-29.24288900749166,-6.19454666492578,5.655021834061135,167.58951965065503,0.026200873362445413,5.608142649199418
model_38,0.001,50,30,100,2000,229,180554.47598253275,5.681222707423581,90.32751091703057,0.2106190610271994,0.16301130924072024,0.4787479819582095,0.3736491428920024,0.46048944027687927,0.9456578912140177,0.06668175919512596,0.132517767111419,4.54758951965065,6.568675982532748,6.464171920527177,-6.287749236617411,-14.383323730251995,-3.7115777103241356,5.192139737991266,84.41484716157206,0.4890829694323144,3.9395312954876274
model_39,0.001,50,30,100,3000,229,180554.47598253275,5.681222707423581,60.46288209606987,0.21519577742789234,0.14267274090813128,0.43555819138876334,0.2892585041812019,0.3053498917100253,0.7342732594916002,0.06549703616198609,0.1443240883292506,5.447057777777775,7.243530666666665,4.365612811039188,-5.469154950553819,-10.880451031246547,-5.121585512827542,3.925764192139738,56.53711790393013,1.755458515283843,2.576960698689957
model_40,0.001,50,30,100,5000,229,180554.47598253275,5.681222707423581,36.50218340611354,0.1877012919414526,0.12462590927457573,0.31339011674027467,0.2084088705388907,0.18720732167624024,0.44484159773782167,0.06074069757643687,0.1427134635346342,5.2270653266331655,6.536807035175878,2.660909830980468,-5.468513394252687,-8.708946944812404,-7.490218016352741,2.4017467248908297,34.10043668122271,3.2794759825327513,1.5635895196506557
model_41,0.001,50,50,1,500,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_42,0.001,50,50,1,1000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_43,0.001,50,50,1,2000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_44,0.001,50,50,1,3000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_45,0.001,50,50,1,5000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_46,0.001,50,50,10,500,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_47,0.001,50,50,10,1000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_48,0.001,50,50,10,2000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_49,0.001,50,50,10,3000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_50,0.001,50,50,10,5000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_51,0.001,50,50,50,500,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_52,0.001,50,50,50,1000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_53,0.001,50,50,50,2000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_54,0.001,50,50,50,3000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_55,0.001,50,50,50,5000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_56,0.001,50,50,100,500,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_57,0.001,50,50,100,1000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_58,0.001,50,50,100,2000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_59,0.001,50,50,100,3000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_60,0.001,50,50,100,5000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_61,0.001,50,100,1,500,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_62,0.001,50,100,1,1000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_63,0.001,50,100,1,2000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_64,0.001,50,100,1,3000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_65,0.001,50,100,1,5000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_66,0.001,50,100,10,500,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_67,0.001,50,100,10,1000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_68,0.001,50,100,10,2000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_69,0.001,50,100,10,3000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_70,0.001,50,100,10,5000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_71,0.001,50,100,50,500,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_72,0.001,50,100,50,1000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_73,0.001,50,100,50,2000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_74,0.001,50,100,50,3000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_75,0.001,50,100,50,5000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_76,0.001,50,100,100,500,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_77,0.001,50,100,100,1000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_78,0.001,50,100,100,2000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_79,0.001,50,100,100,3000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_80,0.001,50,100,100,5000,229,180554.47598253275,5.681222707423581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-5.681222707423581,-5.681222707423581,-11.362445414847162,0.0,0.0,5.681222707423581,0.0
model_81,0.001,100,20,1,500,229,180554.47598253275,5.681222707423581,333.5764192139738,0.09066602573211033,0.09066602573211033,0.27374650341965306,0.27374650341965306,0.9994541484716157,0.9994541484716157,0.04130019225215505,0.05110496688348924,1.0674410480349357,1.6075799126637556,23.586611536078703,-26.455977331517065,-56.32095629232611,-12.388116672073242,5.676855895196507,311.6593886462882,0.004366812227074236,5.676855895196507
