model_id,drift_confidence,warning_confidence,lambda_option,ma_window,min_gap_samples,n_records,two_side_option,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_580,0.0005,0.05,0.01,100,5000,458,0.5,180554.47598253275,5.681222707423581,19.41048034934498,0.13343978047996108,0.09019071589836022,0.18810708489438996,0.12768139113751403,0.11048447121848097,0.2436139705116073,0.06435080405450738,0.12181745289277522,5.0667445255474535,6.219309489051099,1.4309628142914221,-5.1839209357728055,-6.870427168109934,-8.755514981176294,1.4366812227074235,17.973799126637555,4.244541484716157,0.9821455604075696
model_581,0.0005,0.05,0.05,1,500,458,0.5,180554.47598253275,5.681222707423581,120.56331877729258,0.16549046328572103,0.1401487682117694,0.32852691866906125,0.2860109255554798,0.5285077792173862,0.6859733485825189,0.06960783215205786,0.12036574025827203,2.8667291666666705,4.272707291666669,7.820920703781931,-9.95566081184641,-20.655888219036314,-6.7583855361990555,4.187772925764192,110.92576419213974,1.4934497816593886,3.8933857350800576
model_582,0.0005,0.05,0.05,1,1000,458,0.5,180554.47598253275,5.681222707423581,77.63755458515284,0.18988310817963014,0.15736133472118985,0.36422341410877307,0.3070529023831683,0.44788968238428806,0.673758380144843,0.07878568152492824,0.1381067792802775,3.477413612565451,5.116297382198959,5.232674814828352,-6.611454981233746,-13.524882331504553,-5.54338759430795,4.131004366812227,71.48908296943232,1.5502183406113537,3.6738311499272194
model_583,0.0005,0.05,0.05,1,2000,458,0.5,180554.47598253275,5.681222707423581,47.109170305676855,0.21655354204728036,0.15455589071286824,0.3739202894590241,0.267537664096816,0.28882619506816787,0.5973772884221125,0.07815632184797237,0.16887708881591104,4.678425531914898,6.464992553191491,3.23939253109512,-4.704695824201494,-8.893648639349596,-5.339477058548839,3.537117903930131,43.4235807860262,2.1441048034934496,2.552011644832605
model_584,0.0005,0.05,0.05,1,3000,458,0.5,180554.47598253275,5.681222707423581,34.55021834061135,0.20510320252676556,0.13950442008377736,0.320237002728838,0.21529875051208608,0.19577301533697627,0.4583884032028137,0.08008221991496638,0.1681904030050608,5.076112359550567,6.574833707865169,2.422206043958163,-4.758689490848509,-7.81601233772036,-6.570639421124374,2.6986899563318776,31.851528384279476,2.982532751091703,1.8014264919941765
model_585,0.0005,0.05,0.05,1,5000,458,0.5,180554.47598253275,5.681222707423581,22.8646288209607,0.18108320529644906,0.12568955281541594,0.2488174967672831,0.17437378760946345,0.15405290295798899,0.3141567842922839,0.08617586310297704,0.16406125324173823,4.75910828025478,6.0886382165605095,1.641000826052207,-5.035048302330344,-7.0448288183385905,-8.169896035592595,1.8296943231441047,21.034934497816593,3.851528384279476,1.2482096069868995
model_586,0.0005,0.05,0.05,10,500,458,0.5,180554.47598253275,5.681222707423581,110.06113537117903,0.1440716150391739,0.12366895050777316,0.2920375376447763,0.2581254086018016,0.4850198745941104,0.6137611902895745,0.06724101478311562,0.1045065917580286,2.8276648044692654,4.283737430167587,7.114872858839982,-9.443575085655466,-19.186821080426764,-6.978065625387721,3.930131004366812,101.4235807860262,1.7510917030567685,3.67243959243086
model_587,0.0005,0.05,0.05,10,1000,458,0.5,180554.47598253275,5.681222707423581,72.17467248908297,0.16576989119041838,0.14045282271924542,0.3246785899216688,0.28114632651443383,0.4226655511911099,0.6080395465766645,0.07635806575548833,0.11992069325000564,3.400488888888885,4.995376666666662,4.898191301340981,-6.527956363957752,-12.917141820132262,-5.96655140879626,3.890829694323144,66.58515283842794,1.7903930131004366,3.468034934497817
model_588,0.0005,0.05,0.05,10,2000,458,0.5,180554.47598253275,5.681222707423581,44.34497816593886,0.1848847823992848,0.13748362896606012,0.3316629288883467,0.24658451041940382,0.2647860733752077,0.5380817761597366,0.07626251624821441,0.1380492731468603,4.646374999999993,6.418694318181815,3.115274743705924,-4.775637241490299,-8.679719842598704,-5.771194194211205,3.3100436681222707,40.930131004366814,2.37117903930131,2.4106200873362447
model_589,0.0005,0.05,0.05,10,3000,458,0.5,180554.47598253275,5.681222707423581,32.737991266375545,0.16959343726304102,0.11734895845940468,0.27493262757710835,0.19001735000297587,0.18731660638930098,0.40630530313936425,0.06885884960007756,0.13454549138426541,4.9886867469879475,6.47501084337349,2.3706109619159936,-4.875676423959566,-7.743262339344502,-6.979001370197228,2.467248908296943,30.270742358078603,3.2139737991266375,1.6714352256186322
