model_id,drift_confidence,warning_confidence,lambda_option,ma_window,min_gap_samples,n_records,two_side_option,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_318,0.0001,0.05,0.2,100,2000,44,0.5,525000.0,26.90909090909091,0.5909090909090909,0.023129017447199262,0.010886248852157936,0.014983989176212605,0.006848818623873377,0.00267379679144385,0.01378490790255496,0.045454545454545456,0.10227272727272728,6.026,6.026,0.01168831168831167,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.18181818181818182,0.4090909090909091,26.727272727272727,0.09015151515151514
model_319,0.0001,0.05,0.2,100,3000,44,0.5,525000.0,26.90909090909091,0.5,0.00505050505050505,0.00505050505050505,0.0029515938606847684,0.0029515938606847684,0.00267379679144385,0.00267379679144385,0.045454545454545456,0.045454545454545456,0.004,0.004,0.012987012987012969,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.045454545454545456,0.45454545454545453,26.863636363636363,0.045454545454545456
model_320,0.0001,0.05,0.2,100,5000,44,0.5,525000.0,26.90909090909091,0.4090909090909091,0.00505050505050505,0.00505050505050505,0.0029515938606847684,0.0029515938606847684,0.00267379679144385,0.00267379679144385,0.045454545454545456,0.045454545454545456,0.004,0.004,0.010389610389610367,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.045454545454545456,0.36363636363636365,26.863636363636363,0.045454545454545456
model_321,0.0005,0.001,0.01,1,500,44,0.5,525000.0,26.90909090909091,27.0,0.045410054350102896,0.045410054350102896,0.051077444978026736,0.051077444978026736,0.08521347933112638,0.08521347933112638,0.06254965384178866,0.13973139568110382,1.5387499999999987,1.6369249999999902,0.7064935064935065,-28.285797035177314,-30.218680534369938,-53.91026437649009,0.6818181818181818,24.727272727272727,26.227272727272727,0.6818181818181818
model_322,0.0005,0.001,0.01,1,1000,44,0.5,525000.0,26.90909090909091,15.227272727272727,0.0530232925183232,0.05105045393075209,0.058477902987334636,0.05603533524048159,0.04434046345811051,0.08521347933112638,0.04786978697869786,0.1762161751292186,3.2237499999999915,3.559574999999994,0.4,-27.59957246599241,-28.692324097829157,-53.73501483189222,0.6818181818181818,14.0,26.227272727272727,0.6297575757575768
model_323,0.0005,0.001,0.01,1,2000,44,0.5,525000.0,26.90909090909091,7.954545454545454,0.060470691837066416,0.028217031188964348,0.06488207906255009,0.02969898168449583,0.017825311942959,0.0814256005432476,0.06906158357771261,0.18388429752066113,6.0574999999999894,6.2044000000000015,0.20649350649350648,-27.113684773902698,-27.663630230876173,-53.565984772688694,0.6363636363636364,7.2272727272727275,26.272727272727273,0.37218181818181717
model_324,0.0005,0.001,0.01,1,3000,44,0.5,525000.0,26.90909090909091,5.363636363636363,0.014374514374514369,0.012633514633514649,0.013523784301075231,0.008742165294104164,0.010249554367201423,0.017825311942959,0.09134199134199134,0.0922077922077922,3.0413333333333057,3.0845333333333076,0.14675324675324675,-27.103659106504832,-27.483624192176627,-53.6864038363962,0.22727272727272727,5.136363636363637,26.681818181818183,0.12542424242424358
model_325,0.0005,0.001,0.01,1,5000,44,0.5,525000.0,26.90909090909091,3.409090909090909,0.014435856541119695,0.013470944260417955,0.012407147907661896,0.0102753649619255,0.01403743315508021,0.01403743315508021,0.09232954545454546,0.09232954545454546,1.9499999999999817,2.9321999999999733,0.09220779220779218,-26.991024357489668,-27.22102403192653,-53.69420633845305,0.18181818181818182,3.227272727272727,26.727272727272727,0.14515151515151578
model_326,0.0005,0.001,0.01,10,500,44,0.5,525000.0,26.90909090909091,26.954545454545453,0.0384094953045739,0.0384094953045739,0.04688012016991021,0.04688012016991021,0.0814256005432476,0.0814256005432476,0.0534536817994067,0.09427289977574606,1.7088571428571329,1.7968571428571372,0.7116883116883117,-28.321137554870756,-30.27161949711586,-53.9368056746573,0.6363636363636364,24.90909090909091,26.272727272727273,0.6363636363636364
model_327,0.0005,0.001,0.01,10,1000,44,0.5,525000.0,26.90909090909091,15.181818181818182,0.04671149557513193,0.04370254240708786,0.05488711338614421,0.05207502560210983,0.04055258467023173,0.0814256005432476,0.025136612021857917,0.13126262626262625,3.7671428571428445,4.107342857142851,0.4012987012987013,-27.550603514043416,-28.644007724852386,-53.640265045002565,0.6363636363636364,14.045454545454545,26.272727272727273,0.5899090909090918
model_328,0.0005,0.001,0.01,10,2000,44,0.5,525000.0,26.90909090909091,7.954545454545454,0.046667978486160305,0.01875521448248722,0.05362527213567738,0.021310269990445288,0.010249554367201423,0.066815210932858,0.02331002331002331,0.11509324009324008,6.437999999999993,6.765866666666667,0.21298701298701295,-27.158206173763666,-27.72799151389903,-53.60058623096871,0.45454545454545453,7.454545454545454,26.454545454545453,0.24893939393939543
model_329,0.0005,0.001,0.01,10,3000,44,0.5,525000.0,26.90909090909091,5.409090909090909,0.0073617531244649865,0.005636021229241596,0.009323726401041605,0.0045658674375752455,0.006461675579322637,0.014037433155080214,0.045883361921097765,0.0467409948542024,4.5079999999999405,4.5763999999999605,0.14935064935064934,-27.108607260013628,-27.493572282388925,-53.688852021553245,0.18181818181818182,5.2272727272727275,26.727272727272727,0.08000000000000175
model_330,0.0005,0.001,0.01,10,5000,44,0.5,525000.0,26.90909090909091,3.409090909090909,0.007442849548112704,0.006479532163742709,0.008237006122841213,0.006108746785279604,0.010249554367201423,0.010249554367201423,0.046875,0.046875,2.8749999999999587,4.344699999999941,0.09350649350649348,-26.990947102772815,-27.220946777249296,-53.69412908371639,0.13636363636363635,3.272727272727273,26.772727272727273,0.09975757575757664
model_331,0.0005,0.001,0.01,50,500,44,0.5,525000.0,26.90909090909091,6.636363636363637,0.036258538463817054,0.036258538463817054,0.03577223964332527,0.03577223964332527,0.04132633199570319,0.04132633199570319,0.1158877172983756,0.16517497988736926,1.5891428571428572,1.5891428571428572,0.1636363636363636,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.3181818181818182,5.7272727272727275,26.59090909090909,0.3181818181818182
model_332,0.0005,0.001,0.01,50,1000,44,0.5,525000.0,26.90909090909091,3.909090909090909,0.03767545585727403,0.036966286239013504,0.036894921907955576,0.035990641972769404,0.009708428826075881,0.03975893387658093,0.06887052341597796,0.14615384615384613,2.734666666666667,2.734666666666667,0.09740259740259737,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.2727272727272727,3.409090909090909,26.636363636363637,0.2694242424242424
model_333,0.0005,0.001,0.01,50,2000,44,0.5,525000.0,26.90909090909091,2.1818181818181817,0.04366590809278556,0.01945685311614164,0.039350691657864624,0.014766811729508195,0.005920550038197095,0.03975893387658093,0.09090909090909091,0.15285204991087345,5.526000000000001,5.526000000000001,0.05454545454545452,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.2727272727272727,1.9090909090909092,26.636363636363637,0.144
model_334,0.0005,0.001,0.01,50,3000,44,0.5,525000.0,26.90909090909091,1.5454545454545454,0.01111111111111111,0.01111111111111111,0.0065306919279718096,0.0065306919279718096,0.005920550038197095,0.005920550038197095,0.09090909090909091,0.09090909090909091,0.082,0.082,0.04155844155844153,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.09090909090909091,1.4545454545454546,26.818181818181817,0.09090909090909091
model_335,0.0005,0.001,0.01,50,5000,44,0.5,525000.0,26.90909090909091,1.1363636363636365,0.01111111111111111,0.01111111111111111,0.0065306919279718096,0.0065306919279718096,0.005920550038197095,0.005920550038197095,0.09090909090909091,0.09090909090909091,0.082,0.082,0.029870129870129845,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.09090909090909091,1.0454545454545454,26.818181818181817,0.09090909090909091
model_336,0.0005,0.001,0.01,100,500,44,0.5,525000.0,26.90909090909091,6.454545454545454,0.036042240587695125,0.036042240587695125,0.035642324256187186,0.035642324256187186,0.04121736849009576,0.04121736849009576,0.09694497421770149,0.16517145135566189,1.0926666666666667,1.0926666666666667,0.15844155844155844,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.2727272727272727,5.545454545454546,26.636363636363637,0.2727272727272727
model_337,0.0005,0.001,0.01,100,1000,44,0.5,525000.0,26.90909090909091,3.727272727272727,0.040397481306572204,0.039466351829988186,0.03850258094906514,0.037229659520840425,0.009651711924439196,0.04121736849009576,0.08333333333333333,0.16888111888111887,2.159333333333333,2.159333333333333,0.09090909090909088,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.2727272727272727,3.1818181818181817,26.636363636363637,0.2657878787878788
model_338,0.0005,0.001,0.01,100,2000,44,0.5,525000.0,26.90909090909091,2.0,0.04638793354208373,0.02266648187122494,0.040958350698974196,0.016225981798948744,0.009651711924439196,0.04121736849009576,0.11363636363636363,0.17557932263814616,4.481333333333334,4.481333333333334,0.04805194805194804,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.2727272727272727,1.6818181818181819,26.636363636363637,0.16024242424242421
model_339,0.0005,0.001,0.01,100,3000,44,0.5,525000.0,26.90909090909091,1.3636363636363635,0.01796536796536796,0.01796536796536796,0.010635853466583873,0.010635853466583873,0.009651711924439196,0.009651711924439196,0.13636363636363635,0.13636363636363635,0.0133333333333333,0.0133333333333333,0.035064935064935056,-26.90909090909091,-26.90909090909091,-53.81818181818182,0.13636363636363635,1.2272727272727273,26.772727272727273,0.13636363636363635
