model_id,delta,ma_window,min_gap_samples,n_records,duration_samples,n_ground_truth,n_detections,f1_classic,f1_weighted,f3_classic,f3_weighted,recall_4s,recall_10s,precision_4s,precision_10s,edd_median_s,edd_p95_s,fp_per_min,nab_score_standard,nab_score_low_fp,nab_score_low_fn,tp,fp,fn,tp_weight_sum
model_53,0.01,25,3000,22,525000.0,26.90909090909091,107.95454545454545,0.12790548803762766,0.0937587607416567,0.2531058998102745,0.18809962621614226,0.2669288209185042,0.4570344732855341,0.0575261808824289,0.09401489839419058,4.088380952380944,6.836761904761896,2.8025974025974025,-21.93261127781681,-30.267352971691988,-36.9470586126974,9.863636363636363,98.0909090909091,17.045454545454547,6.866757575757597
model_54,0.01,25,4000,22,525000.0,26.90909090909091,85.0909090909091,0.12442656799624476,0.09129275778253794,0.22793393634002276,0.1715075568149649,0.23714493615078813,0.3769574096965012,0.06620731494647536,0.097469799995147,4.226380952380944,6.732609523809489,2.1987012987012986,-22.529222543565478,-29.114194670703398,-39.69128193454197,8.136363636363637,76.95454545454545,18.772727272727273,5.562848484848504
model_55,0.01,25,5000,22,525000.0,26.90909090909091,70.45454545454545,0.11524708754455247,0.079659431276667,0.19544406258913719,0.13748822769247848,0.1680173503954136,0.3055180403390669,0.05539255509025249,0.0949616547872198,4.334285714285694,7.064028571428545,1.835064935064935,-24.197795987329357,-29.727791958368286,-43.47825254726444,6.2272727272727275,64.22727272727273,20.681818181818183,4.061393939393951
model_56,0.01,50,1000,22,525000.0,26.90909090909091,310.40909090909093,0.10681259614657314,0.08681887864318459,0.28214467204743016,0.24291281309557708,0.5834917047892333,0.7849792872438318,0.04671609577986913,0.06491887856316586,2.892181818181807,5.960481818181818,8.062337662337661,-27.458301956551782,-51.358143782111306,-29.372017407408382,17.954545454545453,282.1818181818182,8.954545454545455,14.296696969696988
model_57,0.01,50,2000,22,525000.0,26.90909090909091,178.95454545454547,0.12993603067157372,0.08909619938006158,0.3083701257430023,0.21787148287779823,0.33809528197999933,0.6911136233865988,0.04330412975757537,0.08377871127270219,4.786454545454522,7.61543636363634,4.661038961038961,-22.017681891023287,-36.20921526143868,-30.649187933088317,14.454545454545455,163.13636363636363,12.454545454545455,9.566545454545475
model_58,0.01,50,3000,22,525000.0,26.90909090909091,127.04545454545455,0.12489810128498241,0.08141544807259221,0.26677112908710293,0.17960432846140315,0.2928467273835057,0.5210810793056603,0.04965371312177896,0.0860984513729365,4.25333333333331,7.772057142857134,3.320779220779221,-22.977059511461103,-33.18158106585204,-36.23843509790199,10.818181818181818,116.22727272727273,16.09090909090909,6.857606060606071
model_59,0.01,50,4000,22,525000.0,26.90909090909091,99.04545454545455,0.11936659284498587,0.08074129095727406,0.23334899476588628,0.16488011218094817,0.24514394435040684,0.41267461956252216,0.04982796326243008,0.08706269519513109,4.263523809523784,7.247399999999981,2.587012987012987,-23.91075778090291,-31.900703491535793,-40.233966743768285,8.5,90.54545454545455,18.40909090909091,5.5006666666666755
model_60,0.01,50,5000,22,525000.0,26.90909090909091,80.72727272727273,0.12026689756384941,0.08410384011018789,0.22420737002536703,0.16619519047612968,0.21480145480882198,0.37332943479145975,0.047569004119946495,0.09027756273155621,3.7463809523809513,6.748542857142835,2.0974025974025974,-23.67692172775968,-30.176917135744553,-41.60874220558542,7.318181818181818,73.4090909090909,19.59090909090909,4.907727272727279
model_61,0.01,75,1000,22,525000.0,26.90909090909091,361.22727272727275,0.10605910819251284,0.08648657805888718,0.2897653699682207,0.24876968991599124,0.6448644003515434,0.8729575961768319,0.04620821210419035,0.06290566568280119,3.14936363636365,5.96389999999997,9.385714285714286,-28.215780776430144,-56.97198822233407,-25.201313417114537,21.136363636363637,328.5,5.7727272727272725,16.9817272727273
model_62,0.01,75,2000,22,525000.0,26.90909090909091,202.22727272727272,0.13642603381232593,0.09313627571310258,0.334147091437182,0.2355153920404257,0.3880720549949767,0.7840693183958656,0.04554459708143621,0.08593982631516071,5.052181818181809,7.82412727272725,5.2272727272727275,-19.86279008378908,-36.182792336263496,-24.975516230279137,17.181818181818183,182.95454545454547,9.727272727272727,11.578484848484889
